Track URI,Track Name,Artist URI,Artist Name,Artist Popularity,Artist Genres,Album,Track Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms)
spotify:track:5ec0XhCsoLmGBvDZnqPhkv,Freeverse Feast 2,spotify:artist:008PpLcKUtVXle6JSwkq3I,Emiway Bantai,60,"['desi hip hop', 'desi pop', 'desi trap', 'hindi hip hop']",Malum Hai Na,29,0.533,0.845,1,-4.75,1,0.206,0.185,3.62E-06,0.158,0.316,76.681,194804
spotify:track:3uRY4nZGYXHcsWVASkJZCK,Dehshat,spotify:artist:2oBG74gAocPMFv6Ij9ykdo,Seedhe Maut,66,"['desi hip hop', 'hindi hip hop']",Bayaan,28,0.736,0.719,10,-7.253,0,0.213,0.176,0,0.09,0.252,153.781,176112
spotify:track:4Jljg5WlnWtIOHvwpZVkS4,Tu Mera 22 Mein Tera 22,spotify:artist:7uIbLdzzSEqnX0Pkrb56cR,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Tu Mera 22 Mein Tera 22,28,0.928,0.956,6,-4.817,0,0.0588,0.196,0.0773,0.047,0.906,123.064,171707
spotify:track:7q8RDjLprHOErgwz4ReQGA,Andar Ka Bacha,spotify:artist:3XbsFoxsYfrJyo9VZrbM16,Rawal,43,"['desi hip hop', 'desi trap', 'hindi hip hop', 'indian underground rap']",Andar Ka Bacha,28,0.603,0.436,1,-9.113,0,0.247,0.84,0.0243,0.179,0.359,201.54,154455
spotify:track:0A3hi4R0OZhvukBOrJhesu,Genesis (Intro),spotify:artist:5lMNphVhMLvhFmTWiKiLA2,Zaeden,55,"['desi pop', 'hindi indie', 'indian edm']",Genesis 1:1,30,0.345,0.68,2,-10.64,1,0.0288,0.573,0.984,0.192,0.151,100.001,72000
spotify:track:1Ix2EV5eGsGWuzq4wYXpV2,Paap,spotify:artist:1HnV8VaGdip3y1SpJPgft0,Panther,53,"['desi hip hop', 'hindi hip hop']",Flying Towards The City,29,0.939,0.626,1,-7.699,1,0.048,0.127,0.00101,0.119,0.421,125.079,192480
spotify:track:0d63h8XhuB4a0BJgLjC76K,Awaaz Uthayenge,spotify:artist:5o1LOeJhS9Rhu5XzHDxAI7,Jesse Jonathan David,29,['hindi worship'],Awaaz Uthayenge,29,0.44,0.466,6,-7.294,1,0.0354,0.688,0,0.122,0.37,174.334,262081
spotify:track:0HuS5vFQd06cXV54I0twkV,Face,spotify:artist:0tC995Rfn9k2l7nqgCZsV7,Prateek Kuhad,64,"['desi pop', 'folk-pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",The Way That Lovers Do,30,0.481,0.669,7,-13.329,1,0.455,0.92,0.0219,0.139,0.351,128.219,184413
spotify:track:41SIHXoItJqYfl8B8klTrb,Held You Tight,spotify:artist:0tC995Rfn9k2l7nqgCZsV7,Prateek Kuhad,64,"['desi pop', 'folk-pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",In Tokens & Charms,29,0.675,0.54,1,-11.309,1,0.0503,0.00697,0.00529,0.231,0.562,119.997,205918
spotify:track:28YtS0rwP9qPcNB5LrXpNX,Tujhsa Koi Nahi,spotify:artist:7MmWJVeBwMeCgwcHGz6PDg,Kenneth Silway,26,['hindi worship'],Beintehaan Pyaar,28,0.543,0.531,7,-6.632,1,0.0311,0.763,0,0.145,0.416,136.084,307647
spotify:track:49zInXw6hqGS2I4cLCQfSa,Godfather,spotify:artist:5NHm4TU5Twz7owibYxJfFU,King,70,"['desi pop', 'hindi hip hop']",The Gorilla Bounce,28,0.54,0.753,5,-6.491,0,0.346,0.15,0,0.0986,0.348,175.213,165161
spotify:track:3GNtCSSdMvzvnDTDkYYsIa,Rajdhani,spotify:artist:2oBG74gAocPMFv6Ij9ykdo,Seedhe Maut,66,"['desi hip hop', 'hindi hip hop']",Nayaab,28,0.663,0.792,7,-6.206,1,0.345,0.13,0.00366,0.114,0.627,83.08,266746
spotify:track:1sq5XNbLILkQsl4SCaUSth,Koo Koo,spotify:artist:5NHm4TU5Twz7owibYxJfFU,King,70,"['desi pop', 'hindi hip hop']",The Gorilla Bounce,28,0.7,0.822,11,-4.429,1,0.229,0.158,0,0.0907,0.792,81.013,197037
spotify:track:6jAOjBjtQK8h7j4eshcyKX,Rolling,spotify:artist:1HnV8VaGdip3y1SpJPgft0,Panther,53,"['desi hip hop', 'hindi hip hop']",Flying Towards The City,28,0.672,0.739,1,-6.21,1,0.381,0.0723,9.00E-06,0.569,0.391,187.889,188029
spotify:track:26mqj1W5bsZIGOu8SY5p1w,Chaku Chidiya,spotify:artist:6i50rQJbETLRREwFn3plcw,Lifafa,39,"['hindi indie', 'indian electronic', 'indian indie', 'new delhi indie']",Jaago,29,0.683,0.647,10,-10.41,0,0.0373,0.0273,0.7,0.233,0.748,135.223,266520
spotify:track:4xLGvLq19FK9s4Nfsig7Ic,SAZA,spotify:artist:5NHm4TU5Twz7owibYxJfFU,King,70,"['desi pop', 'hindi hip hop']",PYAAR HUMARA,28,0.649,0.524,8,-8.254,1,0.277,0.562,2.28E-05,0.181,0.324,188.146,228563
spotify:track:0rcb8gZqXRBSXzQfylEjCS,KOTS - Freestyle,spotify:artist:008PpLcKUtVXle6JSwkq3I,Emiway Bantai,60,"['desi hip hop', 'desi pop', 'desi trap', 'hindi hip hop']",King Of The Streets,28,0.491,0.782,10,-5.14,0,0.315,0.182,0,0.365,0.452,95.488,182680
spotify:track:0orvuPBgUmcXcU3wlO1vul,Take Me There,spotify:artist:2CkrXQPoBz8jTQ3u0ZeLPh,Nucleya,52,"['desi hip hop', 'hindi hip hop', 'indian edm', 'indian indie']",Raja Baja,28,0.551,0.9,6,-4.751,0,0.0658,0.00614,0.123,0.0859,0.125,154.977,309677
spotify:track:5VHXtbqvwdOcN8LlTMAdLa,Going to America,spotify:artist:2CkrXQPoBz8jTQ3u0ZeLPh,Nucleya,52,"['desi hip hop', 'hindi hip hop', 'indian edm', 'indian indie']",Tota Myna,29,0.7,0.715,11,-6.3,0,0.211,0.231,1.71E-05,0.652,0.663,173.892,176551
spotify:track:5zRsI8ViPn2QgA3sIb0cxB,Mirza,spotify:artist:2CkrXQPoBz8jTQ3u0ZeLPh,Nucleya,52,"['desi hip hop', 'hindi hip hop', 'indian edm', 'indian indie']",Tota Myna,28,0.765,0.844,6,-7.753,0,0.0521,0.000738,0.00896,0.119,0.653,137.02,255766
spotify:track:0og4es391oQ8hykMj7xYmY,Jazbaat,spotify:artist:68l0QuZV2CAaQqXP4o75fn,Pineapple Express,30,"['bangalore indie', 'hindi indie', 'indian fusion', 'indian indie']",Jazbaat,27,0.518,0.615,11,-7.757,1,0.0437,0.0594,0.00089,0.157,0.403,133.957,346791
spotify:track:7uhGtS5iYi3e9E3A55Z7si,Lokkhiti-Male,spotify:artist:5LZ894xYE9MG1sal0gjt5L,Anupam Roy,56,"['filmi', 'hindi indie', 'indian singer-songwriter', 'kolkata indie', 'west bengali pop']",Drishtikone,28,0.596,0.471,9,-8.97,0,0.0488,0.64,0,0.12,0.244,140.064,226562
spotify:track:57l6Avi9HedFWKTPejAsnS,Heer Ranjha - Lost Stories x somanshu Remix,spotify:artist:5lfGXaGmQck7m2077vsKpy,Bhuvan Bam,42,['hindi indie'],Heer Ranjha (Lost Stories x somanshu Remix),28,0.63,0.652,2,-5.84,1,0.0332,0.18,1.40E-05,0.291,0.286,104.931,181714
spotify:track:5lUfB7ag3yKU1zaRJTfhiz,AZA,spotify:artist:4RCALXqxv2udxtuLatKPSi,Lost Stories,47,"['hindi indie', 'indian edm', 'indian indie']",AZA,30,0.702,0.527,11,-7.048,0,0.0589,0.251,0.000204,0.107,0.635,101.996,160500
spotify:track:6npUBc2LqfT3iM2yYM1Wjs,Ball,spotify:artist:2oBG74gAocPMFv6Ij9ykdo,Seedhe Maut,66,"['desi hip hop', 'hindi hip hop']",Ball,27,0.734,0.44,10,-9.159,0,0.35,0.19,0,0.0952,0.502,79.998,181500
spotify:track:75xVzj5clW200YsQLkdQU8,Jamaica to India,spotify:artist:008PpLcKUtVXle6JSwkq3I,Emiway Bantai,60,"['desi hip hop', 'desi pop', 'desi trap', 'hindi hip hop']",Jamaica to India,28,0.818,0.955,9,-1.753,1,0.0849,0.148,0.000145,0.0471,0.68,104.982,226798
spotify:track:4XfAcrgR7hhWa8cCbP8YTn,"Chhote Chhote Peg (From ""Sonu Ke Titu Ki Sweety"")",spotify:artist:7uIbLdzzSEqnX0Pkrb56cR,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']","Chhote Chhote Peg (From ""Sonu Ke Titu Ki Sweety"")",28,0.831,0.908,7,-3.317,1,0.101,0.328,0.00371,0.077,0.734,104.962,203881
spotify:track:05INid8x3KFQk37uCJ4lPl,Tum Jo,spotify:artist:1fQt9x3P87d8ggkdU2hUDx,Khwaab,35,"['hindi indie', 'indian indie']",Tum Jo,29,0.501,0.323,4,-12.469,1,0.0321,0.785,0.00944,0.101,0.234,140.957,183847
spotify:track:19Rhh61RiRgBSZ2kp726k4,Batista Bomb,spotify:artist:008PpLcKUtVXle6JSwkq3I,Emiway Bantai,60,"['desi hip hop', 'desi pop', 'desi trap', 'hindi hip hop']",Batista Bomb,27,0.798,0.736,5,-6.973,0,0.274,0.374,0,0.194,0.639,145.043,253714
spotify:track:2Ukvvk1BAsFs5KeH2oPFhf,Khona Hai,spotify:artist:008PpLcKUtVXle6JSwkq3I,Emiway Bantai,60,"['desi hip hop', 'desi pop', 'desi trap', 'hindi hip hop']",Khona Hai,28,0.651,0.484,2,-15.326,0,0.112,0.279,5.51E-06,0.105,0.11,130.047,208891
